Codes,Site Name,Depot
80258,MALIK SAIF FILLING STATION,Quetta
80259,AWAN FILLING STATION,Shikarpur
80259,AWAN FILLING STATION,Dolatpur
80259,AWAN FILLING STATION,Mehmoodkot
80260,LAIQ FILLING STATION,Quetta
80261,RAZIA FILLING STATION,Shikarpur
80261,RAZIA FILLING STATION,Dolatpur
80261,RAZIA FILLING STATION,Mehmoodkot
80263,PESHAWAR CNG FILLING STATION,Taru jabba
80264,MARWAT FILLING STATION,Taru jabba
80267,AL-MUSTAFA FILLING STATION,Shikarpur
80267,AL-MUSTAFA FILLING STATION,Dolatpur
80267,AL-MUSTAFA FILLING STATION,Mehmoodkot
80269,NASEEM FILLING STATION,Shikarpur
80269,NASEEM FILLING STATION,Dolatpur
80269,NASEEM FILLING STATION,Mehmoodkot
80270,RASHID PETROLEUM,Sahiwal
80271,HOTI CNG FILLING STATION,Taru jabba
80273,AL KHAIR FUEL HUT,Machikey
80273,AL KHAIR FUEL HUT,Chakpirana
80274,MECCA PETROLEUM,Machikey
80274,MECCA PETROLEUM,Chakpirana
80276,BAKKA PETROLEUM SERVICE,Kemari
80276,BAKKA PETROLEUM SERVICE,Refinery
80276,BAKKA PETROLEUM SERVICE,Port Qasim
80277,YARAAN PETROLEUM SERVICE,Quetta
80278,DIAMOND FILLING STATION,Shikarpur
80278,DIAMOND FILLING STATION,Dolatpur
80278,DIAMOND FILLING STATION,Mehmoodkot
80279,JP'S PETROLEUM SERVICE,Kemari
80279,JP'S PETROLEUM SERVICE,Refinery
80279,JP'S PETROLEUM SERVICE,Port Qasim
80280,BILAL ZAM ZAM FILLING STATION,Kemari
80280,BILAL ZAM ZAM FILLING STATION,Refinery
80280,BILAL ZAM ZAM FILLING STATION,Port Qasim
80281,WAZIR PETROLEUM SERVICE,Kemari
80281,WAZIR PETROLEUM SERVICE,Refinery
80281,WAZIR PETROLEUM SERVICE,Port Qasim
80282,CHEEMA CNG,Chakpirana
80282,CHEEMA CNG,Machikey
80283,M SHARIF FILLING STATION,Machikey
80283,M SHARIF FILLING STATION,Chakpirana
80284,SUPER AL MADINA F/S,Mehmoodkot
80284,SUPER AL MADINA F/S,Parco
80285,NOWSHERA FILLING STATION,Taru jabba
80286,ISHTIAQ FILLING STATION,Chakpirana
80286,ISHTIAQ FILLING STATION,Machikey
80287,QURBAN PETROLEUM SERVICE,Shikarpur
80287,QURBAN PETROLEUM SERVICE,Dolatpur
80287,QURBAN PETROLEUM SERVICE,Mehmoodkot
80288,THAHEEM PETROLEUM SERVICES,Machikey
80288,THAHEEM PETROLEUM SERVICES,Chakpirana
80289,SABIR HUSSAIN FILLING STATION,Jaglot
80291,NIAZ FILLING STATION,Jaglot
80293,NASEEB FILLING STATION,Sihala
80295,GHOUSIA MEHRIA FILLING STATION,Mehmoodkot
80295,GHOUSIA MEHRIA FILLING STATION,Parco
80296,AL TAJ PETROLEUM SERVICES,Shikarpur
80296,AL TAJ PETROLEUM SERVICES,Dolatpur
80296,AL TAJ PETROLEUM SERVICES,Mehmoodkot
80297,AL SYED PETROLEUM SERVICE,Sahiwal
80299,ISLAMKOT FILLING STATION,Kemari
80299,ISLAMKOT FILLING STATION,Refinery
80299,ISLAMKOT FILLING STATION,Port Qasim
80301,AYAAN PETROLEUM SERVICE,Kemari
80301,AYAAN PETROLEUM SERVICE,Refinery
80301,AYAAN PETROLEUM SERVICE,Port Qasim
80302,NOORI FILLING STATION,Kemari
80302,NOORI FILLING STATION,Refinery
80302,NOORI FILLING STATION,Port Qasim
80303,NEW AWAIS QARNI PETROLEUM SERVICE,Kemari
80303,NEW AWAIS QARNI PETROLEUM SERVICE,Refinery
